# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W$ selection, soft-dropped
RatioPlotReference=/ATLAS_2019_I1724098/d20-x01-y01
RatioPlot=1
LogY=1
LegendOnly=/ATLAS_2019_I1724098/d20-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d20-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSS_tune.yoda/ATLAS_2019_I1724098/d20-x01-y01 //Users/jenniferroloff/Work/tuningStudies/monash_tune.yoda/ATLAS_2019_I1724098/d20-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d20-x01-y01
XLabel=ECF3$^\text{norm}$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d ECF3}^\text{norm}}$
DrawOnly=/ATLAS_2019_I1724098/d20-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d20-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSS_tune.yoda/ATLAS_2019_I1724098/d20-x01-y01 //Users/jenniferroloff/Work/tuningStudies/monash_tune.yoda/ATLAS_2019_I1724098/d20-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d20-x01-y01
Legend=1
LeftMargin=2.0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d20-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d20-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.333334e-03	1.105043e+02	1.002657e+01	9.796785e+00
2.333333e-03	4.666667e-03	1.183079e+02	9.029356e+00	1.046724e+01
4.666666e-03	7.000000e-03	7.665260e+01	1.065165e+01	1.076543e+01
7.000000e-03	9.333334e-03	4.730284e+01	8.935714e+00	9.038978e+00
9.333333e-03	1.166667e-02	2.733008e+01	6.619175e+00	6.747030e+00
1.166666e-02	1.400000e-02	1.665366e+01	5.076403e+00	5.491754e+00
1.400000e-02	1.633334e-02	1.050775e+01	3.805306e+00	4.387232e+00
1.633333e-02	1.866667e-02	6.845413e+00	2.674550e+00	2.918322e+00
1.866666e-02	2.100000e-02	4.929944e+00	2.286467e+00	2.790748e+00
2.100000e-02	2.333334e-02	3.497572e+00	1.606348e+00	1.869036e+00
2.333333e-02	2.566667e-02	2.302186e+00	1.166948e+00	1.476823e+00
2.566666e-02	2.800000e-02	1.405929e+00	6.775856e-01	7.629056e-01
2.800000e-02	3.033334e-02	1.017229e+00	5.076033e-01	5.690429e-01
3.033333e-02	3.266667e-02	7.595957e-01	2.959585e-01	3.976854e-01
3.266666e-02	3.500000e-02	2.804383e-01	1.296828e-01	1.601593e-01
3.500000e-02	3.733334e-02	1.379371e-01	5.880326e-02	5.984821e-02
3.733333e-02	3.966667e-02	4.559639e-02	1.900460e-02	1.910964e-02
3.966666e-02	4.200000e-02	3.826220e-02	1.606950e-02	1.789902e-02
4.200000e-02	4.433334e-02	2.110410e-02	1.031003e-02	1.832855e-02
4.433333e-02	4.666667e-02	1.063597e-02	5.590604e-03	4.992238e-03
4.666666e-02	4.900000e-02	1.630141e-02	5.514008e-03	5.668063e-03
