# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Top selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d32-x01-y01
RatioPlot=1
LogY=0
LegendOnly=/ATLAS_2019_I1724098/d32-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSS_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01 //Users/jenniferroloff/Work/tuningStudies/monash_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01
XLabel=LHA
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d LHA}}$
DrawOnly=/ATLAS_2019_I1724098/d32-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSS_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01 //Users/jenniferroloff/Work/tuningStudies/monash_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01
Legend=1
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d32-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d32-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.500000e-01	1.269028e-02	5.874218e-03	4.314966e-03
3.500000e-01	4.666666e-01	6.997776e-02	2.403685e-02	1.743709e-02
4.666667e-01	5.833333e-01	1.074112e-01	2.883844e-02	2.203006e-02
5.833334e-01	7.000000e-01	1.426352e-01	3.362072e-02	2.397090e-02
7.000000e-01	8.166666e-01	2.335845e-01	4.656727e-02	3.376111e-02
8.166667e-01	9.333333e-01	3.897251e-01	6.849891e-02	4.906199e-02
9.333334e-01	1.050000e+00	6.880189e-01	1.042139e-01	7.552225e-02
1.050000e+00	1.166666e+00	1.189144e+00	1.022083e-01	1.131494e-01
1.166667e+00	1.283333e+00	1.507897e+00	1.204209e-01	1.819895e-01
1.283334e+00	1.400000e+00	1.268559e+00	8.703009e-02	1.078164e-01
1.400000e+00	1.516666e+00	8.989660e-01	6.284642e-02	1.293597e-01
1.516667e+00	1.633333e+00	6.260796e-01	4.962336e-02	1.382514e-01
1.633334e+00	1.750000e+00	4.135531e-01	4.111603e-02	5.734390e-02
1.750000e+00	1.866666e+00	3.108529e-01	4.222312e-02	3.389030e-02
1.866667e+00	1.983333e+00	2.158357e-01	4.819624e-02	2.807581e-02
1.983334e+00	2.100000e+00	1.593345e-01	3.972186e-02	2.509349e-02
2.100000e+00	2.216666e+00	1.121011e-01	2.563987e-02	2.321391e-02
2.216667e+00	2.333333e+00	6.573934e-02	1.802115e-02	2.178500e-02
2.333334e+00	2.450000e+00	5.253006e-02	1.844200e-02	2.162449e-02
2.450000e+00	2.566666e+00	2.994580e-02	1.099352e-02	1.257174e-02
2.566666e+00	2.800000e+00	1.678767e-02	7.216767e-03	7.205289e-03
2.800000e+00	3.033334e+00	8.945881e-03	3.638411e-03	3.619960e-03
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01
LineColor=red
LineStyle=dashed
LineWidth=0.06
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01
Title=Soft Drop Mass, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e-01	4.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.666667e-01	5.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.833334e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	8.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333334e-01	1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.166666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.166667e+00	1.283333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.283334e+00	1.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+00	1.516666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.516667e+00	1.633333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.633334e+00	1.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+00	1.866666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.866667e+00	1.983333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.983334e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.216666e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.216667e+00	2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333334e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.566666e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.566666e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.033334e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/JSS_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01
LineColor=blue
LineStyle=dotted
LineWidth=0.06
Path=//Users/jenniferroloff/Work/tuningStudies/JSS_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01
Title=JSS Observables
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e-01	4.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.666667e-01	5.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.833334e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	8.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333334e-01	1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.166666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.166667e+00	1.283333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.283334e+00	1.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+00	1.516666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.516667e+00	1.633333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.633334e+00	1.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+00	1.866666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.866667e+00	1.983333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.983334e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.216666e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.216667e+00	2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333334e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.566666e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.566666e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.033334e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/monash_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01
LineColor=green
LineStyle=solid
LineWidth=0.06
Path=//Users/jenniferroloff/Work/tuningStudies/monash_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01
Title=MONASH
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e-01	4.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.666667e-01	5.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.833334e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	8.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333334e-01	1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.166666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.166667e+00	1.283333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.283334e+00	1.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+00	1.516666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.516667e+00	1.633333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.633334e+00	1.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+00	1.866666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.866667e+00	1.983333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.983334e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.216666e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.216667e+00	2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333334e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.566666e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.566666e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.033334e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01
LineColor=orange
LineStyle=dashdotted
LineWidth=0.06
Path=//Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d32-x01-y01
Title=ATLAS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e-01	4.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.666667e-01	5.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.833334e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	8.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333334e-01	1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.166666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.166667e+00	1.283333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.283334e+00	1.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+00	1.516666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.516667e+00	1.633333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.633334e+00	1.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+00	1.866666e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.866667e+00	1.983333e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.983334e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.216666e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.216667e+00	2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333334e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.566666e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.566666e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.033334e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

