# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Top selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d34-x01-y01
RatioPlot=1
LogY=1
LegendOnly=/ATLAS_2019_I1724098/d34-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d34-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSS_tune.yoda/ATLAS_2019_I1724098/d34-x01-y01 //Users/jenniferroloff/Work/tuningStudies/monash_tune.yoda/ATLAS_2019_I1724098/d34-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d34-x01-y01
XLabel=ECF3$^\text{norm}$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d ECF3}^\text{norm}}$
DrawOnly=/ATLAS_2019_I1724098/d34-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d34-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSS_tune.yoda/ATLAS_2019_I1724098/d34-x01-y01 //Users/jenniferroloff/Work/tuningStudies/monash_tune.yoda/ATLAS_2019_I1724098/d34-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d34-x01-y01
Legend=1
LeftMargin=2.0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d34-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d34-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	2.164907e+01	3.897619e+00	6.574019e+00
2.000000e-03	4.000000e-03	5.278722e+01	6.355884e+00	6.233814e+00
4.000000e-03	6.000000e-03	6.486438e+01	4.535263e+00	3.910691e+00
6.000000e-03	8.000000e-03	6.481110e+01	3.703468e+00	3.225777e+00
8.000000e-03	1.000000e-02	5.957146e+01	5.222559e+00	2.762093e+00
1.000000e-02	1.200000e-02	5.995965e+01	4.310701e+00	3.333842e+00
1.200000e-02	1.400000e-02	5.224874e+01	4.565953e+00	6.972461e+00
1.400000e-02	1.600000e-02	3.784947e+01	4.280977e+00	6.956235e+00
1.600000e-02	1.800000e-02	2.638314e+01	4.246953e+00	4.873976e+00
1.800000e-02	2.000000e-02	1.636798e+01	3.677690e+00	3.619105e+00
2.000000e-02	2.200000e-02	9.381828e+00	2.584428e+00	2.411906e+00
2.200000e-02	2.400000e-02	6.108164e+00	1.832521e+00	1.882571e+00
2.400000e-02	2.600000e-02	4.699859e+00	1.484756e+00	1.493742e+00
2.600000e-02	2.800000e-02	3.853880e+00	1.221152e+00	1.428266e+00
2.800000e-02	3.000000e-02	4.085640e+00	1.192451e+00	1.748835e+00
3.000000e-02	3.200000e-02	3.858843e+00	1.191621e+00	1.650000e+00
3.200000e-02	3.400000e-02	2.926541e+00	1.011360e+00	1.279157e+00
3.400000e-02	3.600000e-02	2.341354e+00	1.019597e+00	1.175698e+00
3.600000e-02	3.800000e-02	1.674864e+00	6.515605e-01	6.602262e-01
3.800000e-02	4.000000e-02	1.437029e+00	6.111077e-01	8.670071e-01
4.000000e-02	4.400000e-02	9.257811e-01	4.663846e-01	7.749096e-01
4.400000e-02	4.800000e-02	6.441170e-01	2.863689e-01	3.368168e-01
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d34-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d34-x01-y01
Title=Mass only, incl. pT
