# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W$ selection, soft-dropped
RatioPlotReference=/ATLAS_2019_I1724098/d19-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.05
XLabel=ECF2$^\text{norm}$
LegendAlign=l
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d ECF2}^\text{norm}}$
DrawOnly=/ATLAS_2019_I1724098/d19-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d19-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d19-x01-y01
LegendYPos=0.25
Legend=1
LegendOnly=/ATLAS_2019_I1724098/d19-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d19-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d19-x01-y01
LeftMargin=2.0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d19-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d19-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.333333e-02	9.151034e-01	2.153490e-01	2.104163e-01
1.333333e-02	2.666667e-02	4.427503e-01	1.331634e-01	1.364165e-01
2.666666e-02	4.000000e-02	2.696495e-01	9.448905e-02	9.830075e-02
4.000000e-02	5.333334e-02	2.999603e-01	1.218050e-01	1.206156e-01
5.333333e-02	6.666667e-02	3.549853e-01	1.060820e-01	1.118568e-01
6.666666e-02	8.000000e-02	8.125500e-01	2.016280e-01	1.988191e-01
8.000000e-02	9.333334e-02	1.933786e+00	3.359237e-01	3.459198e-01
9.333333e-02	1.066667e-01	3.940840e+00	5.472848e-01	5.542803e-01
1.066666e-01	1.200000e-01	5.111918e+00	6.254130e-01	5.517000e-01
1.200000e-01	1.333334e-01	7.036647e+00	7.507901e-01	6.980019e-01
1.333333e-01	1.466667e-01	8.285492e+00	7.296286e-01	7.091114e-01
1.466666e-01	1.600000e-01	8.775250e+00	6.953158e-01	6.496583e-01
1.600000e-01	1.733334e-01	9.245819e+00	7.782206e-01	8.029726e-01
1.733333e-01	1.866667e-01	8.110810e+00	8.882711e-01	8.718677e-01
1.866666e-01	2.000000e-01	6.903421e+00	1.121689e+00	1.117790e+00
2.000000e-01	2.133334e-01	5.056685e+00	1.259427e+00	1.353329e+00
2.133333e-01	2.266667e-01	3.087330e+00	1.059432e+00	1.179989e+00
2.266666e-01	2.400000e-01	1.903634e+00	7.929078e-01	9.498922e-01
2.400000e-01	2.533334e-01	1.218537e+00	6.049968e-01	7.380298e-01
2.533333e-01	2.666667e-01	7.523679e-01	3.755557e-01	5.063677e-01
2.666666e-01	2.800000e-01	3.552956e-01	2.179906e-01	2.884005e-01
2.800000e-01	2.933334e-01	1.505139e-01	7.362200e-02	8.884208e-02
2.933333e-01	3.066667e-01	2.791113e-02	9.447995e-03	1.005527e-02
3.066666e-01	3.200000e-01	5.618460e-03	1.088090e-03	1.010789e-03
3.200000e-01	3.333334e-01	3.126369e-03	1.503351e-03	1.846631e-03
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d19-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d19-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.333333e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.333333e-02	2.666667e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.666666e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.333334e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.333333e-02	6.666667e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.666666e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.333334e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-02	1.066667e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.066666e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.333334e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.333333e-01	1.466667e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.466666e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.733334e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.733333e-01	1.866667e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.866666e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.133334e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.133333e-01	2.266667e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.266666e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.533334e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.533333e-01	2.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.666666e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	2.933334e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.933333e-01	3.066667e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.066666e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.333334e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d19-x01-y01
LineColor=blue
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d19-x01-y01
Title=Mass only, pt binned
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.333333e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.333333e-02	2.666667e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.666666e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.333334e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.333333e-02	6.666667e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.666666e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.333334e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-02	1.066667e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.066666e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.333334e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.333333e-01	1.466667e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.466666e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.733334e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.733333e-01	1.866667e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.866666e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.133334e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.133333e-01	2.266667e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.266666e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.533334e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.533333e-01	2.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.666666e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	2.933334e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.933333e-01	3.066667e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.066666e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.333334e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

