# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W$ selection, soft-dropped
RatioPlotReference=/ATLAS_2019_I1724098/d22-x01-y01
RatioPlot=1
LogY=0
LegendXPos=0.05
XLabel=ECF3$^\text{norm}$
LegendAlign=l
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d} \tau_{32}^\text{WTA}}$
DrawOnly=/ATLAS_2019_I1724098/d22-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d22-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d22-x01-y01
Legend=1
LegendOnly=/ATLAS_2019_I1724098/d22-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d22-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d22-x01-y01
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d22-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d22-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.233334e-02	2.698523e-02	8.411571e-03	9.076538e-03
3.233330e-02	3.556667e-01	2.034257e-02	3.681246e-03	4.083703e-03
3.556667e-01	4.526667e-01	3.578891e-01	7.801414e-02	7.707736e-02
4.526666e-01	4.850000e-01	6.600747e-01	1.285498e-01	1.351821e-01
4.850000e-01	5.173334e-01	8.251748e-01	1.298345e-01	1.412125e-01
5.173333e-01	5.496667e-01	9.889652e-01	1.438006e-01	1.506443e-01
5.496666e-01	5.820000e-01	1.194772e+00	1.513923e-01	1.809432e-01
5.820000e-01	6.143334e-01	1.379232e+00	1.584362e-01	1.788237e-01
6.143333e-01	6.466667e-01	1.606939e+00	1.735997e-01	2.065280e-01
6.466666e-01	6.790000e-01	1.870593e+00	2.036848e-01	2.333738e-01
6.790000e-01	7.113334e-01	2.060067e+00	2.167698e-01	2.490671e-01
7.113333e-01	7.436667e-01	2.511180e+00	2.817207e-01	3.033583e-01
7.436666e-01	7.760000e-01	2.862960e+00	3.216883e-01	3.421209e-01
7.760000e-01	8.083334e-01	3.603132e+00	4.124227e-01	4.381743e-01
8.083333e-01	8.406667e-01	4.077394e+00	5.000984e-01	5.150340e-01
8.406666e-01	8.730000e-01	3.764013e+00	4.491881e-01	4.689336e-01
8.730000e-01	9.053334e-01	1.925228e+00	2.319658e-01	2.329351e-01
9.053333e-01	9.376667e-01	2.940312e-01	3.390871e-02	3.520393e-02
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d22-x01-y01
LineColor=red
LineStyle=dashed
LineWidth=0.06
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d22-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.233334e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.233330e-02	3.556667e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.556667e-01	4.526667e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.526666e-01	4.850000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e-01	5.173334e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.173333e-01	5.496667e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.496666e-01	5.820000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.820000e-01	6.143334e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.143333e-01	6.466667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.466666e-01	6.790000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.790000e-01	7.113334e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.113333e-01	7.436667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.436666e-01	7.760000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.760000e-01	8.083334e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.083333e-01	8.406667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.406666e-01	8.730000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.730000e-01	9.053334e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.053333e-01	9.376667e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d22-x01-y01
LineColor=blue
LineStyle=dotted
LineWidth=0.06
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d22-x01-y01
Title=Mass only, pt binned
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.233334e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.233330e-02	3.556667e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.556667e-01	4.526667e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.526666e-01	4.850000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e-01	5.173334e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.173333e-01	5.496667e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.496666e-01	5.820000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.820000e-01	6.143334e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.143333e-01	6.466667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.466666e-01	6.790000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.790000e-01	7.113334e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.113333e-01	7.436667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.436666e-01	7.760000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.760000e-01	8.083334e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.083333e-01	8.406667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.406666e-01	8.730000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.730000e-01	9.053334e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.053333e-01	9.376667e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

