# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Top selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d31-x01-y01
RatioPlot=1
LogY=0
LegendXPos=0.05
XLabel=$D_2$
LegendAlign=l
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d} D_2}$
DrawOnly=/ATLAS_2019_I1724098/d31-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d31-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d31-x01-y01
Legend=1
LegendOnly=/ATLAS_2019_I1724098/d31-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d31-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d31-x01-y01
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d31-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d31-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.080901e-02	1.611754e-02	1.546489e-02
5.000000e-02	6.666666e-02	3.119467e-01	1.345828e-01	1.161056e-01
6.666667e-02	8.333333e-02	5.718965e-01	1.833694e-01	1.725823e-01
8.333334e-02	1.000000e-01	6.951640e-01	1.650082e-01	1.724937e-01
9.999997e-02	1.166666e-01	9.396820e-01	1.647612e-01	1.840570e-01
1.166667e-01	1.333333e-01	1.208060e+00	1.791115e-01	1.965704e-01
1.333334e-01	1.500000e-01	1.681617e+00	2.042399e-01	2.237954e-01
1.500000e-01	1.666666e-01	2.299650e+00	2.269813e-01	2.369483e-01
1.666667e-01	1.833333e-01	2.788786e+00	2.422922e-01	2.324649e-01
1.833334e-01	2.000000e-01	3.343028e+00	2.556250e-01	2.415347e-01
2.000000e-01	2.166666e-01	4.099487e+00	3.098848e-01	2.767519e-01
2.166667e-01	2.333333e-01	4.763899e+00	3.672673e-01	2.953821e-01
2.333334e-01	2.500000e-01	5.868110e+00	3.329872e-01	3.788907e-01
2.500000e-01	2.666666e-01	6.288296e+00	3.911756e-01	6.231067e-01
2.666667e-01	2.833333e-01	5.887146e+00	5.072417e-01	5.018965e-01
2.833334e-01	3.000000e-01	5.022388e+00	5.800204e-01	5.262713e-01
3.000000e-01	3.166666e-01	4.041728e+00	5.749870e-01	4.913887e-01
3.166667e-01	3.333333e-01	3.137368e+00	4.774256e-01	4.699638e-01
3.333334e-01	3.500000e-01	2.337281e+00	3.883746e-01	5.124497e-01
3.500000e-01	3.666666e-01	1.569672e+00	3.021925e-01	3.713934e-01
3.666667e-01	3.833333e-01	1.120326e+00	2.341398e-01	2.730151e-01
3.833334e-01	4.000000e-01	8.279918e-01	2.023400e-01	2.789787e-01
4.000000e-01	4.166666e-01	5.429552e-01	1.487312e-01	2.805483e-01
4.166667e-01	4.333333e-01	3.650418e-01	1.189087e-01	2.955652e-01
4.333334e-01	4.500000e-01	1.960527e-01	7.662822e-02	2.384710e-01
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d31-x01-y01
LineColor=red
LineStyle=dashed
LineWidth=0.06
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d31-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.666666e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-02	8.333333e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.333334e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.999997e-02	1.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.166667e-01	1.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.333334e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	1.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.666667e-01	1.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.833334e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.166667e-01	2.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.333334e-01	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	2.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.666667e-01	2.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.833334e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.166667e-01	3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333334e-01	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e-01	3.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.666667e-01	3.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.833334e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.166667e-01	4.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.333334e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d31-x01-y01
LineColor=blue
LineStyle=dotted
LineWidth=0.06
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d31-x01-y01
Title=Mass only, pt binned
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.666666e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-02	8.333333e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.333334e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.999997e-02	1.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.166667e-01	1.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.333334e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	1.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.666667e-01	1.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.833334e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.166667e-01	2.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.333334e-01	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	2.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.666667e-01	2.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.833334e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.166667e-01	3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333334e-01	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e-01	3.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.666667e-01	3.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.833334e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.166666e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.166667e-01	4.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.333334e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

