# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Top selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d35-x01-y01
RatioPlot=1
LogY=0
LegendXPos=0.05
XLabel=$\tau_{21}^\text{WTA}$
LegendAlign=l
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d} \tau_{21}^\text{WTA}}$
DrawOnly=/ATLAS_2019_I1724098/d35-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d35-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d35-x01-y01
Legend=1
LegendOnly=/ATLAS_2019_I1724098/d35-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d35-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d35-x01-y01
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d35-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d35-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.333334e-02	1.128000e-02	5.801286e-03	4.506060e-03
5.333334e-02	8.000000e-02	2.294842e-01	1.115495e-01	8.052627e-02
8.000000e-02	1.066667e-01	3.655763e-01	1.306599e-01	9.603271e-02
1.066667e-01	1.333333e-01	4.870840e-01	1.368697e-01	1.092359e-01
1.333334e-01	1.600000e-01	5.153182e-01	1.216604e-01	1.031941e-01
1.600000e-01	1.866666e-01	5.747904e-01	1.141237e-01	1.074200e-01
1.866667e-01	2.133333e-01	7.621289e-01	1.229678e-01	1.233322e-01
2.133334e-01	2.400000e-01	9.573453e-01	1.437889e-01	1.323852e-01
2.400000e-01	2.666666e-01	1.087983e+00	1.721889e-01	1.325647e-01
2.666667e-01	2.933333e-01	1.350013e+00	2.115351e-01	1.424577e-01
2.933334e-01	3.200000e-01	1.736507e+00	2.395515e-01	1.787522e-01
3.200000e-01	3.466666e-01	2.137449e+00	2.423660e-01	2.204009e-01
3.466667e-01	3.733333e-01	2.364344e+00	2.363181e-01	2.401569e-01
3.733334e-01	4.000000e-01	2.730921e+00	2.619920e-01	2.493787e-01
4.000000e-01	4.266666e-01	2.858775e+00	2.600108e-01	2.416253e-01
4.266667e-01	4.533333e-01	3.088803e+00	2.696170e-01	2.521960e-01
4.533334e-01	4.800000e-01	2.892299e+00	2.273251e-01	2.327533e-01
4.800000e-01	5.066666e-01	3.017770e+00	2.214554e-01	2.315624e-01
5.066667e-01	5.333333e-01	2.932442e+00	2.205580e-01	2.618626e-01
5.333334e-01	5.600000e-01	2.434699e+00	1.983968e-01	2.932118e-01
5.600000e-01	5.866666e-01	1.822132e+00	1.874731e-01	3.684394e-01
5.866667e-01	6.133333e-01	1.193150e+00	1.511037e-01	4.413017e-01
6.133334e-01	6.400000e-01	8.165334e-01	1.250916e-01	4.580382e-01
6.400000e-01	6.666666e-01	4.968331e-01	8.981394e-02	3.109211e-01
6.666667e-01	6.933333e-01	3.475225e-01	9.131960e-02	3.073194e-01
6.933334e-01	7.200000e-01	1.755550e-01	5.227056e-02	1.594858e-01
7.200000e-01	7.466666e-01	6.805791e-02	1.863027e-02	5.976018e-02
7.466666e-01	8.000000e-01	1.696201e-02	3.669067e-03	6.475508e-03
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d35-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d35-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.333334e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.333334e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.066667e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.066667e-01	1.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.333334e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.866666e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.866667e-01	2.133333e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.133334e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.666666e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.666667e-01	2.933333e-01	0.000000e+00	0.000000e+00	0.000000e+00
