# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W$ selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d38-x01-y01
RatioPlot=1
LogY=0
LegendXPos=0.05
XLabel=$C_2$
LegendAlign=l
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d} C_2}$
DrawOnly=/ATLAS_2019_I1724098/d38-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d38-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d38-x01-y01
Legend=1
LegendOnly=/ATLAS_2019_I1724098/d38-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d38-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d38-x01-y01
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d38-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d38-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.233333e-01	2.633333e-01	3.960264e-02	9.443134e-03	1.553043e-02
2.633333e-01	2.866667e-01	2.530330e-01	7.802803e-02	8.706459e-02
2.866666e-01	3.100000e-01	4.290802e-01	1.290776e-01	1.517471e-01
3.100000e-01	3.333334e-01	5.707064e-01	1.505289e-01	1.245670e-01
3.333333e-01	3.566667e-01	9.005285e-01	2.043691e-01	1.536539e-01
3.566666e-01	3.800000e-01	1.245192e+00	2.411190e-01	1.728319e-01
3.800000e-01	4.033334e-01	1.755445e+00	2.597790e-01	2.041452e-01
4.033333e-01	4.266667e-01	2.221565e+00	2.446927e-01	2.479900e-01
4.266666e-01	4.500000e-01	2.843013e+00	3.065211e-01	2.499579e-01
4.500000e-01	4.733334e-01	3.598802e+00	2.907638e-01	3.230634e-01
4.733333e-01	4.966667e-01	4.039805e+00	3.037519e-01	3.002588e-01
4.966666e-01	5.200000e-01	4.324131e+00	2.853383e-01	2.821288e-01
5.200000e-01	5.433334e-01	5.305504e+00	3.845351e-01	3.778542e-01
5.433333e-01	5.666667e-01	5.049100e+00	4.964167e-01	4.907087e-01
5.666666e-01	5.900000e-01	4.138044e+00	6.318158e-01	5.699303e-01
5.900000e-01	6.133334e-01	3.183372e+00	6.869120e-01	6.419726e-01
6.133333e-01	6.366667e-01	1.657287e+00	6.142273e-01	5.488837e-01
6.366666e-01	6.600000e-01	5.551271e-01	2.882342e-01	3.119823e-01
6.600000e-01	6.833334e-01	2.757889e-01	1.989039e-01	2.770285e-01
6.833333e-01	7.066667e-01	2.740028e-01	2.306696e-01	6.117313e-01
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d38-x01-y01
LineColor=red
LineStyle=dashed
LineWidth=0.06
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d38-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
1.233333e-01	2.633333e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.633333e-01	2.866667e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.866666e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	3.333334e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333333e-01	3.566667e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.566666e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	4.033334e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.033333e-01	4.266667e-01	0.000000e+00	0.000000e+00	0.000000e+00
