# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W$ selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d40-x01-y01
RatioPlot=1
LogY=0
LegendOnly=/ATLAS_2019_I1724098/d40-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d40-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d40-x01-y01
XLabel=LHA
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d LHA}}$
DrawOnly=/ATLAS_2019_I1724098/d40-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d40-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d40-x01-y01
Legend=1
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d40-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d40-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.226666e-01	3.590221e-02	6.747441e-03	5.960687e-03
3.226666e-01	4.840000e-01	5.501547e-01	8.746643e-02	8.035932e-02
4.840000e-01	6.453334e-01	9.058362e-01	1.202290e-01	1.149272e-01
6.453333e-01	8.066667e-01	9.407676e-01	1.091680e-01	1.049198e-01
8.066666e-01	9.680000e-01	9.016190e-01	8.501940e-02	1.015164e-01
9.680003e-01	1.129334e+00	7.881586e-01	6.788325e-02	9.199239e-02
1.129333e+00	1.290667e+00	6.363171e-01	6.019881e-02	7.510712e-02
1.290666e+00	1.452000e+00	4.594200e-01	4.645632e-02	5.961860e-02
1.452000e+00	1.613334e+00	3.134580e-01	3.712497e-02	4.591888e-02
1.613333e+00	1.774667e+00	2.015195e-01	2.986518e-02	3.267407e-02
1.774666e+00	1.936000e+00	1.449708e-01	2.595402e-02	2.735723e-02
1.936000e+00	2.097334e+00	8.793507e-02	1.919962e-02	2.097662e-02
2.097333e+00	2.258667e+00	6.826089e-02	1.936309e-02	1.755653e-02
2.258666e+00	2.420000e+00	3.860090e-02	1.459318e-02	1.249889e-02
2.420000e+00	2.581334e+00	2.819316e-02	1.140761e-02	9.212372e-03
2.581333e+00	2.742667e+00	1.787272e-02	8.052028e-03	6.880188e-03
2.742666e+00	2.904000e+00	1.779169e-02	7.103196e-03	6.307706e-03
2.904000e+00	3.065334e+00	1.455321e-02	7.940666e-03	6.784309e-03
3.065333e+00	3.226667e+00	1.111349e-02	5.083437e-03	4.228606e-03
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d40-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d40-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.226666e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.226666e-01	4.840000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.840000e-01	6.453334e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.453333e-01	8.066667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.066666e-01	9.680000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.680003e-01	1.129334e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.129333e+00	1.290667e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.290666e+00	1.452000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.452000e+00	1.613334e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.613333e+00	1.774667e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.774666e+00	1.936000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.936000e+00	2.097334e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.097333e+00	2.258667e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.258666e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.581334e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.581333e+00	2.742667e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.742666e+00	2.904000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.904000e+00	3.065334e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.065333e+00	3.226667e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d40-x01-y01
LineColor=blue
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d40-x01-y01
Title=Mass only, pt binned
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.226666e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.226666e-01	4.840000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.840000e-01	6.453334e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.453333e-01	8.066667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.066666e-01	9.680000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.680003e-01	1.129334e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.129333e+00	1.290667e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.290666e+00	1.452000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.452000e+00	1.613334e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.613333e+00	1.774667e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.774666e+00	1.936000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.936000e+00	2.097334e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.097333e+00	2.258667e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.258666e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.581334e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.581333e+00	2.742667e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.742666e+00	2.904000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.904000e+00	3.065334e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.065333e+00	3.226667e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

