# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W$ selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d41-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.05
XLabel=ECF2$^\text{norm}$
LegendAlign=l
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d ECF2}^\text{norm}}$
DrawOnly=/ATLAS_2019_I1724098/d41-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d41-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d41-x01-y01
LegendYPos=0.25
Legend=1
LegendOnly=/ATLAS_2019_I1724098/d41-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d41-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d41-x01-y01
LeftMargin=2.0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d41-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d41-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.133333e-02	6.166667e-02	6.720764e-01	1.973439e-01	2.157156e-01
6.166666e-02	7.200000e-02	1.151065e+00	2.716488e-01	2.717887e-01
7.200000e-02	8.233334e-02	2.062712e+00	4.187798e-01	4.411316e-01
8.233333e-02	9.266667e-02	3.084278e+00	5.324192e-01	5.517972e-01
9.266666e-02	1.030000e-01	4.460748e+00	6.670873e-01	6.024987e-01
1.030000e-01	1.133334e-01	5.857064e+00	6.957319e-01	5.424825e-01
1.133333e-01	1.236667e-01	6.838607e+00	5.593022e-01	4.398975e-01
1.236666e-01	1.340000e-01	8.038444e+00	4.548127e-01	4.087289e-01
1.340000e-01	1.443334e-01	9.288397e+00	4.744633e-01	4.061663e-01
1.443333e-01	1.546667e-01	9.842836e+00	5.156276e-01	4.108898e-01
1.546666e-01	1.650000e-01	9.703747e+00	7.172472e-01	5.050854e-01
1.650000e-01	1.753334e-01	9.613506e+00	9.541833e-01	6.978349e-01
1.753333e-01	1.856667e-01	8.669244e+00	1.170003e+00	1.056271e+00
1.856666e-01	1.960000e-01	6.689462e+00	1.457558e+00	1.525040e+00
1.960000e-01	2.063334e-01	4.152743e+00	1.313840e+00	1.440769e+00
2.063333e-01	2.166667e-01	2.655670e+00	1.183633e+00	1.499971e+00
2.166666e-01	2.270000e-01	1.690819e+00	1.028417e+00	1.229254e+00
2.270000e-01	2.373334e-01	1.137508e+00	7.373165e-01	1.015637e+00
