# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W$ selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d42-x01-y01
RatioPlot=1
LogY=1
LegendOnly=/ATLAS_2019_I1724098/d42-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d42-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d42-x01-y01
XLabel=ECF3$^\text{norm}$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d ECF3}^\text{norm}}$
DrawOnly=/ATLAS_2019_I1724098/d42-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d42-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d42-x01-y01
Legend=1
LeftMargin=2.0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d42-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d42-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-03	1.664757e+02	8.724261e+00	9.192921e+00
1.666667e-03	3.333333e-03	1.935788e+02	1.178263e+01	6.030222e+00
3.333334e-03	5.000000e-03	9.914764e+01	1.278708e+01	1.413112e+01
5.000000e-03	6.666666e-03	5.017707e+01	9.901136e+00	9.527713e+00
6.666667e-03	8.333333e-03	2.868047e+01	7.682568e+00	6.990235e+00
8.333334e-03	1.000000e-02	1.847217e+01	6.312779e+00	5.653728e+00
9.999997e-03	1.166666e-02	1.460761e+01	6.192097e+00	8.305401e+00
1.166667e-02	1.333333e-02	1.230067e+01	5.734468e+00	1.549393e+01
1.333334e-02	1.500000e-02	5.807003e+00	2.692661e+00	3.275950e+00
1.500000e-02	1.666666e-02	4.942421e+00	2.446945e+00	5.461669e+00
1.666667e-02	1.833333e-02	2.376421e+00	1.224811e+00	1.706824e+00
1.833334e-02	2.000000e-02	1.727432e+00	1.104192e+00	1.554219e+00
2.000000e-02	2.166666e-02	6.999392e-01	4.046414e-01	6.056403e-01
2.166666e-02	2.500000e-02	5.033448e-01	3.752214e-01	7.831451e-01
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d42-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d42-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.666667e-03	3.333333e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.333334e-03	5.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-03	6.666666e-03	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-03	8.333333e-03	0.000000e+00	0.000000e+00	0.000000e+00
8.333334e-03	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.999997e-03	1.166666e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.166667e-02	1.333333e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.333334e-02	1.500000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-02	1.666666e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.666667e-02	1.833333e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.833334e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	2.166666e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.166666e-02	2.500000e-02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d42-x01-y01
LineColor=blue
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d42-x01-y01
Title=Mass only, pt binned
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.666667e-03	3.333333e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.333334e-03	5.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-03	6.666666e-03	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-03	8.333333e-03	0.000000e+00	0.000000e+00	0.000000e+00
8.333334e-03	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.999997e-03	1.166666e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.166667e-02	1.333333e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.333334e-02	1.500000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-02	1.666666e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.666667e-02	1.833333e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.833334e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	2.166666e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.166666e-02	2.500000e-02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

