# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W$ selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d43-x01-y01
RatioPlot=1
LogY=0
LegendOnly=/ATLAS_2019_I1724098/d43-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d43-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d43-x01-y01
XLabel=$\tau_{12}^\text{WTA}$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d} \tau_{21}^\text{WTA}}$
DrawOnly=/ATLAS_2019_I1724098/d43-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d43-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d43-x01-y01
Legend=1
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d43-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d43-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.900000e-02	4.030749e-03	2.008525e-03	2.071165e-03
2.900000e-02	5.800000e-02	2.132160e-01	4.942621e-02	4.792525e-02
5.800000e-02	8.700000e-02	1.493266e+00	2.811666e-01	2.599411e-01
8.700000e-02	1.160000e-01	2.967487e+00	4.564753e-01	4.236258e-01
1.160000e-01	1.450000e-01	3.287833e+00	4.487481e-01	4.172404e-01
1.450000e-01	1.740000e-01	3.316497e+00	4.077420e-01	3.870673e-01
1.740000e-01	2.030000e-01	3.059237e+00	3.548783e-01	3.498984e-01
2.030000e-01	2.320000e-01	2.836700e+00	3.130254e-01	3.355742e-01
2.320000e-01	2.610000e-01	2.475377e+00	2.654828e-01	2.996389e-01
2.610000e-01	2.900000e-01	2.138464e+00	2.309609e-01	2.836913e-01
2.900000e-01	3.190000e-01	1.908581e+00	2.050074e-01	2.572489e-01
3.190000e-01	3.480000e-01	1.685716e+00	1.874220e-01	2.332492e-01
3.480000e-01	3.770000e-01	1.537457e+00	1.758372e-01	2.159198e-01
3.770000e-01	4.060000e-01	1.279288e+00	1.505717e-01	1.781408e-01
4.060000e-01	4.350000e-01	1.140429e+00	1.432225e-01	1.656476e-01
4.350000e-01	4.640000e-01	9.821647e-01	1.310118e-01	1.532382e-01
4.640000e-01	4.930000e-01	9.043707e-01	1.302938e-01	1.473206e-01
4.930000e-01	5.220000e-01	7.783796e-01	1.226615e-01	1.386802e-01
5.220000e-01	5.510000e-01	6.565986e-01	1.033832e-01	1.202695e-01
5.510000e-01	5.800000e-01	5.675263e-01	1.012576e-01	1.085822e-01
5.800000e-01	6.090000e-01	4.544966e-01	1.020492e-01	1.016189e-01
6.090000e-01	6.380000e-01	3.114327e-01	7.247383e-02	7.924810e-02
6.380000e-01	6.670000e-01	2.037185e-01	5.207962e-02	5.323391e-02
6.670000e-01	6.960000e-01	1.450493e-01	2.995259e-02	3.024785e-02
6.960000e-01	7.250000e-01	8.521593e-02	1.967402e-02	2.045308e-02
7.250000e-01	7.540000e-01	5.022673e-02	1.093726e-02	1.095611e-02
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d43-x01-y01
LineColor=red
LineStyle=dashed
LineWidth=0.06
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d43-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.900000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e-02	5.800000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e-02	8.700000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e-02	1.160000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e-01	1.450000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e-01	1.740000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e-01	2.030000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e-01	2.320000e-01	0.000000e+00	0.000000e+00	0.000000e+00
