# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W$ selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d44-x01-y01
RatioPlot=1
LogY=0
LegendXPos=0.05
XLabel=$\tau_{32}^\text{WTA}$
LegendAlign=l
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d} \tau_{32}^\text{WTA}}$
DrawOnly=/ATLAS_2019_I1724098/d44-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d44-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d44-x01-y01
Legend=1
LegendOnly=/ATLAS_2019_I1724098/d44-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d44-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d44-x01-y01
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d44-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d44-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.506666e-01	1.217949e-02	2.420157e-03	2.453542e-03
2.506666e-01	2.820000e-01	1.305349e-01	3.120814e-02	3.606472e-02
2.820000e-01	3.133334e-01	1.879044e-01	4.291647e-02	4.497702e-02
3.133333e-01	3.446667e-01	3.025929e-01	6.418524e-02	8.036477e-02
3.446666e-01	3.760000e-01	4.075961e-01	8.570788e-02	9.480407e-02
3.760000e-01	4.073334e-01	6.333406e-01	1.097177e-01	1.404235e-01
4.073333e-01	4.386667e-01	7.111016e-01	1.164031e-01	1.232012e-01
4.386666e-01	4.700000e-01	9.359788e-01	1.335978e-01	1.656976e-01
4.700000e-01	5.013334e-01	9.853700e-01	1.269833e-01	1.538790e-01
5.013333e-01	5.326667e-01	1.141744e+00	1.468384e-01	1.694324e-01
5.326666e-01	5.640000e-01	1.286242e+00	1.602061e-01	1.711434e-01
5.640000e-01	5.953334e-01	1.539744e+00	1.705005e-01	1.940446e-01
5.953333e-01	6.266667e-01	1.701032e+00	1.985539e-01	2.101342e-01
6.266666e-01	6.580000e-01	1.902577e+00	2.125736e-01	2.268421e-01
6.580000e-01	6.893334e-01	2.164522e+00	2.463394e-01	2.676404e-01
6.893333e-01	7.206667e-01	2.541111e+00	3.182933e-01	3.111365e-01
7.206666e-01	7.520000e-01	2.960235e+00	3.576585e-01	3.546692e-01
7.520000e-01	7.833334e-01	3.544836e+00	4.358240e-01	4.397156e-01
7.833333e-01	8.146667e-01	3.732492e+00	4.824275e-01	4.739014e-01
8.146666e-01	8.460000e-01	3.234382e+00	4.218204e-01	4.070318e-01
8.460000e-01	8.773334e-01	1.774122e+00	2.294833e-01	2.199498e-01
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d44-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d44-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.506666e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.506666e-01	2.820000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.820000e-01	3.133334e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.133333e-01	3.446667e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.446666e-01	3.760000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.760000e-01	4.073334e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.073333e-01	4.386667e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.386666e-01	4.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e-01	5.013334e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.013333e-01	5.326667e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.326666e-01	5.640000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.640000e-01	5.953334e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.953333e-01	6.266667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.266666e-01	6.580000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.580000e-01	6.893334e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.893333e-01	7.206667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.206666e-01	7.520000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.520000e-01	7.833334e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.146667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.146666e-01	8.460000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.460000e-01	8.773334e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d44-x01-y01
LineColor=blue
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d44-x01-y01
Title=Mass only, pt binned
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.506666e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.506666e-01	2.820000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.820000e-01	3.133334e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.133333e-01	3.446667e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.446666e-01	3.760000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.760000e-01	4.073334e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.073333e-01	4.386667e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.386666e-01	4.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e-01	5.013334e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.013333e-01	5.326667e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.326666e-01	5.640000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.640000e-01	5.953334e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.953333e-01	6.266667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.266666e-01	6.580000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.580000e-01	6.893334e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.893333e-01	7.206667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.206666e-01	7.520000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.520000e-01	7.833334e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.146667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.146666e-01	8.460000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.460000e-01	8.773334e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

