# BEGIN PLOT
LegendOnly=//home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/Sherpa_gluon_lund.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0 //home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/Sherpa_gluon_cluster.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0 //home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/vingluon.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0 //home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/py8gluon_full.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0
DrawOnly=//home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/py8gluon_full.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0 //home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/Sherpa_gluon_cluster.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0 //home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/Sherpa_gluon_lund.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0 //home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/vingluon.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0
YMax=0.38
Title=13 TeV, Groomed Charged jet mass $m_g$ ($500$ GeV $< p_{T}$ $z_{cut}=0.2$\n $\beta=0$) 
RatioPlotReference=//home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/py8gluon_full.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0
RatioPlot=1
LogY=0
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
XLabel=$\log_{10}(m_g^2/p_{T,u}^2)$
YLabel=$\frac{m_g}{\sigma}\frac{d\sigma}{dm_g}$
Legend=1
LegendXPos=0.05
RatioPlotYMin=0.2
# END PLOT

# BEGIN HISTO1D //home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/py8gluon_full.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/py8gluon_full.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0
ScaledBy=1.05955774059907396e-05
Title=Pythia 8.2
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
-7.500000e+00	-7.200000e+00	3.602497e-03	3.567003e-04	3.567003e-04
-7.200000e+00	-6.900000e+00	1.486913e-02	7.246769e-04	7.246769e-04
-6.900000e+00	-6.600000e+00	1.271469e-02	6.701231e-04	6.701231e-04
-6.600000e+00	-6.300000e+00	8.229233e-03	5.391149e-04	5.391149e-04
-6.300000e+00	-6.000000e+00	1.561082e-02	7.425309e-04	7.425309e-04
-6.000000e+00	-5.700000e+00	2.751318e-02	9.857621e-04	9.857621e-04
-5.700000e+00	-5.400000e+00	4.732690e-02	1.292873e-03	1.292873e-03
-5.400000e+00	-5.100000e+00	7.868983e-02	1.667097e-03	1.667097e-03
-5.100000e+00	-4.800000e+00	1.266525e-01	2.114991e-03	2.114991e-03
-4.800000e+00	-4.500000e+00	1.880362e-01	2.577047e-03	2.577047e-03
-4.500000e+00	-4.200000e+00	2.556006e-01	3.004572e-03	3.004572e-03
-4.200000e+00	-3.900000e+00	2.831491e-01	3.162345e-03	3.162345e-03
-3.900000e+00	-3.600000e+00	2.619227e-01	3.041503e-03	3.041503e-03
-3.600000e+00	-3.300000e+00	2.323257e-01	2.864510e-03	2.864510e-03
-3.300000e+00	-3.000000e+00	2.149489e-01	2.755303e-03	2.755303e-03
-3.000000e+00	-2.700000e+00	2.124766e-01	2.739412e-03	2.739412e-03
-2.700000e+00	-2.400000e+00	2.137481e-01	2.747596e-03	2.747596e-03
-2.400000e+00	-2.100000e+00	2.237786e-01	2.811324e-03	2.811324e-03
-2.100000e+00	-1.800000e+00	2.201055e-01	2.788156e-03	2.788156e-03
-1.800000e+00	-1.500000e+00	2.149843e-01	2.755529e-03	2.755529e-03
-1.500000e+00	-1.200000e+00	1.937931e-01	2.616200e-03	2.616200e-03
-1.200000e+00	-9.000000e-01	1.864468e-01	2.566133e-03	2.566133e-03
-9.000000e-01	-6.000000e-01	9.539550e-02	1.835548e-03	1.835548e-03
-6.000000e-01	-3.000000e-01	7.063717e-04	1.579495e-04	1.579495e-04
-3.000000e-01	0.000000e+00	7.063717e-05	4.994803e-05	4.994803e-05
# END HISTO1D


# BEGIN HISTO1D //home/hbro0008/Projects/LesHouches/JetMass/MC_gluon_vince_compare/Sherpa_gluon_cluster.yoda/ATLAS_2018_I1222222/mg_pT_zc-02_b-0
ErrorBars=1
LineColor=blue
LineStyle=solid
